#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
46069  33.663 -120.229 2019 03 11 22 50 320   7.0   8.0  3.1  16 10.6 281 1011.8  -1.6  14.0  14.5    MM   MM     MM
46072  51.672 -172.088 2019 03 11 22 50  MM    MM    MM  3.4  11  7.1 284  991.4  +0.0   3.5   4.6   3.5   MM     MM
46073  55.031 -172.001 2019 03 11 22 50  MM   9.0  11.0  2.8  11  7.2 331  994.6  -2.0   2.7   4.9    MM   MM     MM
46076  59.502 -147.990 2019 03 11 22 50  MM   2.0   4.0  2.6  10  7.9 188     MM    MM    MM    MM    MM   MM     MM
46077  57.902 -154.176 2019 03 11 22 50 260  15.0  18.0  2.2   7  5.5 240  998.5  +3.5   2.4   3.8  -3.6   MM     MM
46078  55.556 -152.582 2019 03 11 22 50 280  14.0  17.0  4.9  15  8.2 259     MM    MM   4.1    MM    MM   MM     MM
46080  57.947 -150.042 2019 03 11 22 50 270  13.0  15.0  3.5   9  7.0 185  995.4  +3.6   4.1    MM    MM   MM     MM
46081  60.799 -148.263 2019 03 11 22 50 340   4.0   5.0  0.3   3  2.6  14  992.9  +2.0   1.7   5.2   1.7   MM     MM
46082  59.681 -143.372 2019 03 11 22 50  MM    MM    MM  2.8  11  7.7 216  994.7  +1.3   4.4   6.4   3.6   MM     MM
46083  58.300 -137.997 2019 03 11 22 50 160   5.0   7.0  4.0  13  9.6 232  998.3  +0.8   5.3   6.2    MM   MM     MM
46084  56.622 -136.102 2019 03 11 22 50 200   5.0   7.0  5.5  16 10.8 259 1000.3  +0.9   5.9   6.5   2.4   MM     MM
46086  32.507 -118.036 2019 03 11 22 50 340   5.0   6.0  2.4  17 10.7 298 1010.1  -2.3  13.8  15.3    MM   MM     MM
46087  48.493 -124.726 2019 03 11 23 20 160   9.0  12.0  3.0  11  7.5 258 1013.4    MM   4.6   8.1   3.3   MM     MM
46088  48.334 -123.165 2019 03 11 23 20 320   2.0   2.0   MM  MM   MM  MM 1014.4    MM   6.4   7.5   1.7   MM     MM
46089  45.925 -125.771 2019 03 11 22 50 210  11.0  13.0  2.6  13  6.9 279 1015.5  -3.4   8.0   9.4    MM   MM     MM
46092  36.751 -122.029 2019 03 11 23 14 280   6.0    MM   MM  MM   MM  MM 1015.4  -2.8  13.8  13.5    MM   MM     MM
