#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
46013  38.238 -123.307 2018 11 29 07 30 210  11.0  13.0   MM  MM   MM  MM  998.9    MM    MM  13.9    MM   MM     MM
46014  39.233 -123.967 2018 11 29 07 40 170   7.0   9.0   MM  MM   MM  MM  996.8    MM  13.0  13.8  12.6   MM     MM
46015  42.771 -124.843 2018 11 29 07 40  30   9.0  12.0   MM  MM   MM  MM  998.6    MM    MM  13.3    MM   MM     MM
46022  40.720 -124.531 2018 11 29 07 40 190   4.0   5.0   MM  MM   MM  MM  997.3    MM  11.3  12.3  11.3   MM     MM
46025  33.749 -119.053 2018 11 29 07 40 240   8.0  10.0   MM  MM   MM  MM 1011.2    MM  17.4  18.5  16.9   MM     MM
46026  37.754 -122.839 2018 11 29 07 40 210  11.0  15.0   MM  MM   MM  MM 1000.6    MM  15.7  15.2    MM   MM     MM
46027  41.850 -124.386 2018 11 29 07 40 310   2.0   4.0   MM  MM   MM  MM  998.3    MM  12.0  11.7  10.7   MM     MM
46028  35.712 -121.858 2018 11 29 06 50  MM    MM    MM  4.1  16  8.8 258 1005.1  -2.9  15.8  16.2    MM   MM     MM
46029  46.143 -124.485 2018 11 29 06 50 130   2.0   4.0  3.7  12  9.7 271 1005.3  +0.0  10.4  11.5   8.6   MM     MM
46035  57.026 -177.738 2018 11 29 06 50  MM    MM    MM  3.7   7  6.4 170  990.5  -8.4   3.0   4.6    MM   MM     MM
46036  48.350 -133.940 2018 11 29 07 00 300   4.0   6.0  3.6  12   MM  MM 1007.8  +1.1  10.4  12.6    MM   MM     MM
46041  47.353 -124.742 2018 11 29 06 50 190   3.0   4.0  3.5  14  9.4 272 1005.5  +0.4  10.9  11.5    MM   MM     MM
46042  36.785 -122.398 2018 11 29 06 50 170  12.0  14.0  4.4  16  7.6 263 1002.1  -2.3  15.5  16.4    MM   MM     MM
46047  32.398 -119.498 2018 11 29 06 50  MM    MM    MM  3.8  16 10.5 292 1012.8  -0.7  17.5  18.3    MM   MM     MM
46050  44.677 -124.515 2018 11 29 07 40  40   6.0   9.0   MM  MM   MM  MM 1003.3    MM    MM  11.4    MM   MM     MM
46053  34.252 -119.853 2018 11 29 07 40 200   5.0   7.0   MM  MM   MM  MM 1011.1    MM  16.7  17.9  16.7   MM     MM
46054  34.265 -120.477 2018 11 29 07 40  MM   9.0  11.0   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
46059  38.072 -129.966 2018 11 29 07 30 310  14.0  17.0   MM  MM   MM  MM  995.5    MM  15.2  17.4  12.6   MM     MM
46060  60.584 -146.805 2018 11 29 06 50 240   4.0   4.0  0.6  10  5.3 185 1001.8  +2.1   2.6   7.5    MM   MM     MM
46066  52.785 -155.047 2018 11 29 06 50  MM    MM    MM  3.5  10  7.1 249  997.1  -0.3   2.8   8.0    MM   MM     MM
46069  33.674 -120.212 2018 11 29 06 50 220   7.0   8.0  3.7  14 11.4 287 1011.0  -0.7  16.7  17.0    MM   MM     MM
46072  51.672 -172.088 2018 11 29 06 50 200  12.0  14.0  3.0  13  8.1 250 1012.6  -2.6   5.5   7.0   0.4   MM     MM
46073  55.031 -172.001 2018 11 29 06 50 200   9.0  11.0  2.8  10  7.2 314 1007.6  -2.1   3.2   6.1  -3.1   MM     MM
46075  53.983 -160.817 2018 11 29 06 50 310  16.0  21.0  5.8  10  8.1 257 1002.3  +4.9   4.1   8.4  -0.9   MM     MM
46076  59.502 -147.990 2018 11 29 06 50 240   3.0   5.0  1.6  10  6.9 201     MM    MM    MM    MM    MM   MM     MM
46077  57.910 -154.175 2018 11 29 06 50  60   2.0   2.0  0.5   7  5.4 224 1002.0  +1.3   2.0   6.5  -5.1   MM     MM
46078  55.556 -152.582 2018 11 29 06 50 140  10.0  12.0  2.0   9  5.6 215     MM    MM    MM    MM    MM   MM     MM
46080  57.947 -150.042 2018 11 29 06 50 240   4.0   6.0  1.6  10  6.0 188 1002.5  +1.3   3.1    MM    MM   MM     MM
46081  60.799 -148.263 2018 11 29 06 50 230   3.0   5.0  0.0  MM  3.5  MM 1001.1  +1.9   2.7   5.4   1.9   MM     MM
46082  59.681 -143.372 2018 11 29 06 50 220   3.0   5.0  2.1  11  7.0 223 1003.7  +2.0   5.8   9.0  -0.3   MM     MM
46083  58.300 -137.997 2018 11 29 06 50 310   7.0  10.0  2.4  11  7.0 255 1003.7  +1.4   7.8   9.1    MM   MM     MM
46084  56.622 -136.102 2018 11 29 06 50 280   7.0   8.0  3.0  11  8.2 240 1003.9  +1.4   7.8   9.8   5.4   MM     MM
46085  55.868 -142.492 2018 11 29 06 50 290   5.0   7.0  2.7  10  7.2  MM 1006.8  +0.8   6.3   9.0    MM   MM     MM
